sub_grade,LC Ditugaskan Subgrade Pinjaman
term,Jumlah pembayaran atas pinjaman. Nilai dalam beberapa bulan dan dapat berupa 36 atau 60.
title,Judul pinjaman yang disediakan oleh peminjam
tot_coll_amt,Total jumlah pengumpulan yang pernah ada
tot_cur_bal,Total Saldo Saat Ini dari Semua Akun
total_acc,Jumlah total jalur kredit saat ini dalam file kredit peminjam
total_bal_il,Total saldo saat ini dari semua akun angsuran
total_cu_tl,Jumlah Perdagangan Keuangan
total_pymnt,Pembayaran diterima hingga saat ini untuk jumlah total yang didanai
total_pymnt_inv,Pembayaran diterima hingga saat ini untuk sebagian dari jumlah total yang didanai oleh investor
total_rec_int,Bunga diterima hingga saat ini
total_rec_late_fee,Biaya keterlambatan yang diterima hingga saat ini
total_rec_prncp,Kepala sekolah diterima hingga saat ini
total_rev_hi_lim  ,Total Batas Kredit/Kredit Tinggi Revolving
url,URL untuk halaman LC dengan data daftar.
verified_status_joint,"Menunjukkan jika pendapatan bersama co-peminjam diverifikasi oleh LC, tidak diverifikasi, atau jika sumber pendapatan diverifikasi"
zip_code,3 nomor pertama dari kode pos yang disediakan oleh peminjam dalam aplikasi pinjaman.
